paid_services,salary,debt_firms,debt_fiz,trade_turnover,money_income,inflation,fm_changes_volume,fm_changes_costs,fm_changes_demand,fm_volume_exp,fm_demand_exp,fm_price_exp,Date,Brent,MIACR,Infl_exp,M2,gov_debt,obligates,unemployment
2900057.9,29881.6,33840,66808,164379.0,23096.70658731801,100.5,-39.6694214876033,25.409836065573796,-29.2682926829268,13.008130081300799,11.4754098360656,13.934426229508201,2014-01-31,108.12,6.056470588235294,13.037735849056604,31155.6,5722.239,6.2005,6.804221648523166
3214893.4,29197.0,34412,67162,164379.0,23096.70658731801,100.34,-4.16666666666667,31.9672131147541,-20.491803278688497,14.754098360655698,8.196721311475411,14.049586776859499,2014-02-28,108.9,5.9935,11.795154185022026,29861.2,5733.566,6.3854999999999995,6.804221648523166
3367412.5,30968.9,32272,68119,164379.0,23096.70658731801,100.64,9.83606557377049,34.1269841269841,-11.904761904761898,12.6984126984127,8.8,14.285714285714299,2014-03-31,107.48,7.845000000000001,11.522132796780683,30169.0,5754.951,7.402380952380952,6.804221648523166
3385204.3,32061.9,32777,69436,164379.0,23096.70658731801,101.02,5.8333333333333295,33.6065573770492,-10.655737704918,10.655737704918,9.09090909090909,12.295081967213099,2014-04-30,107.76,7.874545454545455,12.67274472168906,29519.3,5707.239,7.497727272727272,6.804221648523166
3256951.1,32351.0,33062,70416,164379.0,23096.70658731801,100.49,-12.0,26.400000000000002,-18.400000000000002,10.4,8.06451612903226,5.6000000000000005,2014-05-31,109.54,8.214736842105264,11.720956719817767,29879.0,5714.967,7.954999999999999,6.804221648523166
3306988.6,34218.8,34015,71467,164379.0,23096.70658731801,100.56,3.2,29.6,-15.200000000000001,14.6341463414634,12.903225806451598,9.6,2014-06-30,111.8,8.233157894736843,11.348780487804879,29890.8,5739.107,7.882380952380952,6.804221648523166
3453732.3,31979.4,33924,72534,164379.0,23096.70658731801,100.53,1.65289256198347,35.53719008264459,-9.917355371900829,23.1404958677686,19.1666666666667,17.3553719008264,2014-07-31,106.77,8.172173913043478,11.830396475770925,30073.1,5757.204,8.527391304347827,6.804221648523166
3503100.7,30241.7,33483,73468,164379.0,23096.70658731801,100.87,-9.09090909090909,26.612903225806498,-21.951219512195095,17.741935483870996,18.032786885245898,20.9677419354839,2014-08-31,101.61,7.877142857142856,12.459183673469388,30178.3,5791.262,8.588095238095239,6.804221648523166
3352005.0,31371.4,33388,74263,164379.0,23096.70658731801,100.93,-3.2,30.400000000000002,-13.6,11.904761904761898,6.4,23.3333333333333,2014-09-30,97.09,7.949090909090909,13.817269076305221,30338.7,5742.744,8.715454545454547,6.804221648523166
3382322.8,32449.3,33292,74458,164379.0,23096.70658731801,100.83,-10.655737704918,31.2,-8.06451612903226,8.06451612903226,3.2520325203251996,27.2,2014-10-31,87.43,8.240434782608697,13.146153846153846,30297.6,5739.132,9.170434782608694,6.804221648523166
3482205.6,31777.6,33171,74831,164379.0,23096.70658731801,101.48,-32.5,36.290322580645196,-24.390243902438996,-6.45161290322581,-8.130081300813009,27.642276422764198,2014-11-30,79.44,10.211111111111112,15.462264150943396,29831.2,5753.841,10.4095,6.804221648523166
3769402.6,40631.3,32990,75274,164379.0,23096.70658731801,102.01,1.65289256198347,42.6229508196721,-15.702479338842998,-10.655737704918,-12.396694214876,38.84297520661159,2014-12-31,62.34,15.468695652173912,16.57123287671233,30141.9,5759.2,14.746521739130435,6.804221648523166
3250630.4,29189.8,32077,74352,183342.0,25477.657122220506,103.52,-51.3274336283186,35.593220338983095,-38.3333333333333,4.27350427350427,4.310344827586209,36.7521367521368,2015-01-31,47.76,16.964666666666666,18.072327044025158,31615.7,7241.169,14.117272727272727,7.18413491057078
3412534.0,28781.2,30836,73490,183342.0,25477.657122220506,101.92,-19.1304347826087,38.0165289256198,-29.752066115702497,15.702479338842998,13.3333333333333,23.1404958677686,2015-02-28,58.1,15.116315789473683,15.659763313609467,31033.7,7240.896,13.0695,7.18413491057078
3606656.6,30227.4,30878,72403,183342.0,25477.657122220506,101.75,-3.3057851239669396,32.2314049586777,-20.6611570247934,13.114754098360699,10.7438016528926,13.114754098360699,2015-03-31,55.89,14.902857142857142,13.967980295566502,31225.0,7159.78,12.032727272727273,7.18413491057078
3720564.1,31089.8,30335,72617,183342.0,25477.657122220506,101.06,-9.90990990990991,35.6521739130435,-19.8275862068966,7.75862068965517,6.0344827586206895,6.83760683760684,2015-04-30,59.52,14.357727272727272,14.32905982905983,31028.8,6986.477,10.783181818181818,7.18413491057078
3638590.4,31651.9,28750,71727,183342.0,25477.657122220506,100.63,-10.4761904761905,25.2252252252252,-28.440366972477097,12.7272727272727,11.9266055045872,10.091743119266098,2015-05-31,64.08,12.828333333333333,14.994845360824742,31696.9,7100.311,10.567142857142857,7.18413491057078
3663310.6,33653.5,27932,71154,183342.0,25477.657122220506,100.62,-8.0,24.7619047619048,-18.2692307692308,20.0,11.5384615384615,17.3076923076923,2015-06-30,61.48,12.503333333333334,13.9452,31820.4,7160.382,10.290909090909091,7.18413491057078
3883143.9,32205.9,28113,70624,183342.0,25477.657122220506,100.22,-20.5607476635514,30.555555555555596,-29.245283018867894,11.214953271028,7.47663551401869,20.370370370370395,2015-07-31,56.56,11.524347826086956,14.76112759644,31936.3,7041.289,10.371739130434783,7.18413491057078
3881697.7,30780.6,27310,69440,183342.0,25477.657122220506,100.39,-12.844036697247699,35.454545454545496,-27.5229357798165,7.3394495412844005,4.58715596330275,19.266055045871596,2015-08-31,46.52,10.858095238095238,16.007082152974505,32072.5,7171.129,10.981904761904762,7.18413491057078
3721332.5,31134.4,26358,68644,183342.0,25477.657122220506,101.61,-19.2307692307692,32.71028037383179,-25.2336448598131,3.73831775700935,0.934579439252336,14.285714285714299,2015-09-30,47.62,11.146363636363636,15.260416666666666,32361.0,6955.448,10.541818181818181,7.18413491057078
3666168.2,31931.9,26248,68357,183342.0,25477.657122220506,100.66,-26.262626262626295,32.69230769230769,-26.9230769230769,0.0,-6.7961165048543695,17.4757281553398,2015-10-31,48.43,11.14090909090909,15.84010152284264,32052.5,6979.189,10.296363636363637,7.18413491057078
3805969.2,31802.6,26172,68006,183342.0,25477.657122220506,100.87,-12.5,35.0,-19.801980198019802,-12.871287128712899,-15.841584158415799,17.0,2015-11-30,44.27,11.425,16.443444730077122,32161.0,7119.134,10.528571428571428,7.18413491057078
4056559.1,39900.8,26099,67890,183342.0,25477.657122220506,100.32,-11.7021276595745,41.8367346938776,-21.428571428571395,-13.131313131313098,-12.2448979591837,26.530612244898,2015-12-31,38.01,11.066521739130435,16.714285714285715,32745.0,7160.043,10.305652173913044,7.18413491057078
3499745.6,30422.1,25878,67734,192614.0,28371.409346891665,101.07,-59.78260869565219,34.34343434343429,-46.0,13.0,18.0,18.1818181818182,2016-01-31,30.7,11.017333333333333,15.74,35179.7,7307.611000000001,9.90047619047619,6.978310291923256
